S.No,timestamp,No_of_availability
3549,2016-07-08 09:45:03,3222
3550,2016-07-08 10:00:02,3105
3551,2016-07-08 10:15:02,2928
3552,2016-07-08 10:30:03,2769
3553,2016-07-08 10:45:03,2589
3554,2016-07-08 11:00:02,2392
3555,2016-07-08 11:15:03,2212
3556,2016-07-08 11:30:03,2014
3557,2016-07-08 11:45:03,1876
3558,2016-07-08 12:00:03,1663
3559,2016-07-08 12:15:03,1527
3560,2016-07-08 12:30:03,1386
3561,2016-07-08 12:45:03,1245
3562,2016-07-08 13:00:03,1133
3563,2016-07-08 13:15:03,1047
3564,2016-07-08 13:30:03,0994
3565,2016-07-08 13:45:03,0949
3566,2016-07-08 14:00:03,0925
3567,2016-07-08 14:15:02,0923
3568,2016-07-08 14:30:03,0917
3569,2016-07-08 14:45:03,0939
3570,2016-07-08 15:00:06,0885
